step,Hmax_scale,sigma1,sigma2,sigma3,sigma4,condition,tangent_lambda,constraint_residual_inf,wmin,wmax
12,0.8648945310273386,0.8992556920286787,0.4838760080577731,0.1981139828956468,0.0312625037763494,28.764672799783252,-0.03415866239631514,8.933087606959184e-10,0.001745386707291732,0.5349003153789581
13,0.8645327585080068,0.8986830191246199,0.4834447316743982,0.1980048832230103,0.03013386492769366,29.823025399530184,-0.032936896950176965,7.293148310156222e-10,0.0017456602183219517,0.5349902033072779
14,0.8642527839752577,0.8987879008394203,0.4830938714786817,0.19792647028827615,0.029239201363460587,30.73913988507943,-0.03196847383351679,3.1899074543846795e-09,0.001745884598999064,0.5350627305795151
15,0.864034797471872,0.898683928168244,0.4827836844688341,0.19787833128834925,0.028528975492222095,31.50074310986926,-0.03119965992353848,7.413206717904443e-10,0.0017460669325259101,0.5351213016492096
16,0.8638053132361893,0.8986607465094514,0.48248882754802386,0.19779969275342818,0.02776707617180523,32.364255456681974,-0.030374894421349823,8.59484705259331e-10,0.0017462660048062869,0.5351849414329755
17,0.8635643503580526,0.8983401162756007,0.4822014042212066,0.19771595153930532,0.026950542320640307,33.33291425410758,-0.029490843133540022,9.77813314422286e-09,0.0017464830964323802,0.5352541147402909
18,0.8633766794563973,0.8981567143993628,0.4819150747614046,0.19767735919112275,0.026303653880001696,34.14570152484477,-0.028790385430791005,6.88373580122851e-10,0.0017466578280188338,0.5353099860836399
19,0.8632297777213355,0.8983200260573406,0.4816513037882286,0.19763971201943584,0.025790447334549816,34.83150231573993,-0.028234543903824284,7.163947210662887e-10,0.0017467979274859206,0.5353550331539311
20,0.8630743294958788,0.897986740518496,0.48146155314413447,0.19759937358202256,0.025240179665744045,35.577668321325106,-0.027638520267429738,6.678328998689799e-10,0.0017469494400273698,0.5354039692832155
21,0.8629101552060368,0.8978774054211806,0.4812216643459406,0.1975451934154968,0.024651035049031437,36.42351745617509,-0.027000251504353073,4.3728287561921406e-09,0.0017471130803546884,0.5354571706538412
22,0.8627815646343217,0.8979898685483217,0.4809962572390168,0.1975111408263305,0.024184261468827257,37.13116771028142,-0.02649449679139314,5.041322913407656e-10,0.0017472436352600738,0.5355000699039086
23,0.8626804354800651,0.8977420388136971,0.4808546608310464,0.19749543757247454,0.023814074930645808,37.697959774973775,-0.026093307705222103,1.6600321116343398e-10,0.0017473477193384792,0.5355346192713203
24,0.8625729430229017,0.8976795459983374,0.4806652319908025,0.19748551200698464,0.023417191886609748,38.33420976968815,-0.025663126656752386,2.0493752271771683e-09,0.0017474597859247674,0.5355721254922314
25,0.862488230281556,0.8975456481415265,0.48056441471899985,0.19745564864518114,0.023102350879871447,38.850836125233364,-0.02532179681615388,6.429965446905785e-10,0.0017475490155247578,0.535602293795129
26,0.8624212738791718,0.8976300477095245,0.48045718555008776,0.19742538129118548,0.022852500818779493,39.27929178638862,-0.02505085637871317,5.279522376228423e-10,0.0017476200592799836,0.5356265559796549
27,0.8623682262583708,0.897634165423939,0.480381309359156,0.19742354095462933,0.022653326398201567,39.624828144232346,-0.02483491871077912,2.6717894559863537e-10,0.001747676656026641,0.535646048758503
28,0.8623261176430042,0.8974231841584052,0.4802929095530569,0.19741580338007234,0.022494988741678466,39.89436022680329,-0.024663216296173955,3.496737572280117e-09,0.0017477217736240863,0.5356616780690153
29,0.862292640642429,0.8975567739729652,0.4802335025199232,0.1974050912179581,0.0223691528626435,40.124754812323964,-0.02452669619388021,1.1025934771035286e-08,0.001747757759258714,0.5356742061397174
30,0.862265992964015,0.8975028417615364,0.48018897164973207,0.1974023810777605,0.022268493674302392,40.30370688239435,-0.024417527709998568,1.5824430653479652e-10,0.0017477864761774114,0.5356842585586992
31,0.8622373467265033,0.8974746932127483,0.4801653615451968,0.1974019578769335,0.022160210351656093,40.49937608763166,-0.024300058175120133,1.6254264599624584e-10,0.001747817427099971,0.5356951293155117
32,0.8622065638023463,0.897309849160377,0.4801543113317916,0.19736536294805387,0.02204337005263999,40.70656378845811,-0.02417332119249928,2.0894830312608018e-10,0.0017478507798034078,0.5357068925543761
