target_component,direction,step,scale,sigma1,sigma2,sigma3,sigma4,condition,wmin,wmax,target_error_pct
Hmin,-1,12,0.7408182206817179,1.1996112442877591,0.5637681446886891,0.25204176170066206,0.1683632620873811,7.125136620750179,0.0015090345742473012,0.47513116538139166,7.153291292638642e-08
Hmin,-1,13,0.7225273536420722,1.2047719748214754,0.5681652957148438,0.25671952085865946,0.1690119601242605,7.128323782149537,0.0015057811005408637,0.4710375802335992,6.141540387361033e-07
Hmin,-1,14,0.7046880897187134,1.2081904885175736,0.5716752598417477,0.26057337046543605,0.1688002152807517,7.15751746233314,0.001504587543806708,0.4667930621473129,1.2967424911636272e-07
Hmin,-1,15,0.6872892787909722,1.2097445254969994,0.574285921053543,0.26364445683509197,0.16788453213607216,7.205812888804365,0.0015051735245426186,0.4623787752975595,1.102557034560192e-06
Hmin,-1,16,0.6703200460356393,1.2095122109413543,0.5759773249352642,0.2659538489415999,0.1663763189513101,7.2697377761754485,0.0015073431968714752,0.45777534605567866,1.0770468517051768e-06
Hmin,-1,17,0.6537697851298473,1.207344900731748,0.5767176268561386,0.26749262574070815,0.1643568312750139,7.345875990463274,0.0015109711553824496,0.45296253117452545,1.2975940100190542e-06
Hmin,-1,18,0.6376281516217733,1.2029759671193216,0.5764442086869705,0.2682141715915397,0.16188670988491893,7.430974216317609,0.001515996809231188,0.447920633861204,8.297144526991929e-07
Hmin,-1,19,0.62188505646502,1.1962177267753802,0.5750551677363108,0.2680299946476521,0.15898461688860793,7.524109880476715,0.0015224269069862943,0.4426257330795456,3.85103915423457e-07
Hmin,-1,20,0.6065306597126334,1.1865793710462542,0.5723938304701914,0.26680022018676086,0.15564460705940975,7.623645903730769,0.0015303473014729953,0.43705197558917874,7.117359590580463e-07
Hmin,1,1,1.0253151205244289,0.9399610474454166,0.46702463523473986,0.2025621468230891,0.08598308952307214,10.931929204441923,0.0018171519783133706,0.525350663406473,5.356260213140729e-07
Hmin,1,2,1.0512710963760241,0.9173804210939348,0.45935585712556193,0.2021318558310565,0.0869389791954927,10.552003595891033,0.001831248746453792,0.5289601243617622,6.917513006854392e-07
Hmin,1,3,1.0778841508846315,0.8963908832835777,0.45243198718755173,0.20195747016200355,0.08847444856491872,10.131635718823892,0.001841672633047498,0.5323403923461223,7.946799773783653e-07
Hmin,1,4,1.1051709180756477,0.8760386055081529,0.4466724320991015,0.20250109681576023,0.09103836693096458,9.62274077447438,0.0018499111320505357,0.5354996175973287,1.2510572910962026e-06
Hmin,1,5,1.1331484530668263,0.8570414329305239,0.4426748403599313,0.20497259285125397,0.09473321547203273,9.046894784053233,0.0018567852178310565,0.5384623844229957,1.8124990841528188e-06
Hmin,1,6,1.161834242728283,0.840034494503998,0.44125724042283015,0.21066109775216343,0.0986108389959901,8.518683169688446,0.0018626496216174347,0.5412676393699332,5.650438117399403e-07
Hmin,1,7,1.191246216612358,0.8257613201236277,0.4432745980945196,0.21932600792275134,0.10063731814261527,8.20531921323086,0.0018674732298682134,0.543947702468773,3.4163609718973476e-07
Hmin,1,8,1.2214027581601699,0.8156212527367838,0.4483057407937064,0.22953632768649573,0.09944362316307885,8.201845697026105,0.0018709528847318563,0.5465397313759065,1.7731302648371638e-06
Hmin,1,9,1.2523227161918644,0.8092275631536456,0.45541266228206345,0.23854011308029183,0.09492114243100276,8.52526152160321,0.001872670741260083,0.5490845173238371,4.408540421607654e-07
Hmin,1,10,1.2840254166877414,0.8070928976963369,0.46314251652465555,0.2442669709863483,0.0875666917594821,9.216893792369875,0.0018721380557515448,0.5516181441047102,1.3796378262043163e-06
Hmin,1,11,1.3165306748676215,0.8093259676994828,0.469613535969431,0.24614149372734428,0.07805615470671036,10.368509321788387,0.0018688663443506737,0.554183383190364,1.1724035964277846e-06
Hmin,1,12,1.3498588075760032,0.8155276590308915,0.47316971719289125,0.24392346819190813,0.06729042722777034,12.11951970925113,0.001862552587620857,0.5568246059639682,4.81582742573039e-06
Hmin,1,13,1.3840306459807514,0.8226644450949072,0.4736124265769338,0.23818507514387932,0.05625588952122607,14.623614560116506,0.0018535631298049991,0.5595852459517531,1.2672437521565882e-05
Hmin,1,14,1.4190675485932573,0.8284579822866353,0.47105334854430897,0.23119018553056525,0.04516836402781388,18.341553875550716,0.0018426147611551903,0.5623791107067863,6.41420117020175e-07
